# top	bottom
0.7513	0.0000	0.7527	0.0000
0.6888	0.0000	0.7253	0.0000
0.7194	0.0000	0.7163	0.0000
0.6998	0.0000	0.7204	0.0000
0.6826	0.0000	0.7037	0.0000
0.7254	0.0000	0.6311	0.0000
0.7166	0.0000	0.6313	0.0000
0.7252	0.0000	0.6964	0.0000
0.6758	0.0000	0.7287	0.0000
0.7268	0.0000	0.7125	0.0000
0.6909	0.0000	0.6945	0.0000
0.7130	0.0000	0.7201	0.0000
0.7392	0.0000	0.6995	0.0000
0.7273	0.0000	0.6765	0.0000
0.6763	0.0000	0.6452	0.0000
0.6694	0.0000	0.6582	0.0000
0.6982	0.0000	0.6973	0.0000
0.7198	0.0000	0.6800	0.0000
0.7087	0.0000	0.7036	0.0000
0.6977	0.0000	0.6928	0.0000
0.6857	0.0000	0.6337	0.0000
0.7561	0.0000	0.6221	0.0000
0.6642	0.0000	0.6167	0.0000
0.6225	0.0000	0.5812	0.0000
0.5756	0.0000	0.5004	0.0000
0.6033	0.0000	0.5187	0.0000
0.6263	0.0000	0.5445	0.0000
0.6112	0.0000	0.5815	0.0000
0.5409	0.0000	0.5716	0.0000
0.5938	0.0000	0.5307	0.0000
0.6395	0.0000	0.5954	0.0000
0.6350	0.0000	0.5832	0.0000
0.6754	0.0000	0.5719	0.0000
0.6380	0.0000	0.6267	0.0000
0.6328	0.0000	0.6281	0.0000
0.5485	0.0000	0.6005	0.0000
0.5641	0.0000	0.4774	0.0000
0.5582	0.0000	0.5177	0.0000
0.4787	0.0000	0.4847	0.0000
0.5670	0.0000	0.5662	0.0000
0.5522	0.0000	0.4790	0.0000
